name,xml_name,cas,smiles
Chloridazon,"Chloridazon (sum of chloridazon and chloridazon-desphenyl, expressed as chloridazon) (R)",,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl
Chlormequat,"Chlormequat (sum of chlormequat and its salts, expressed as chlormequat-chloride)",7003-89-6,C[N+](C)(C)CCCl
Chlorobenzilate,Chlorobenzilate  (F),510-15-6,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O
Chloropicrin,Chloropicrin,76-06-2,C([N+](=O)[O-])(Cl)(Cl)Cl
Chlorothalonil,Chlorothalonil  (R),1897-45-6,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl
Chlorotoluron,Chlorotoluron,15545-48-9,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl
Chloroxuron,Chloroxuron  (F),1982-47-4,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl
Chlorpropham,Chlorpropham (R),101-21-3,CC(C)OC(=O)NC1=CC(=CC=C1)Cl
Chlorpyrifos,Chlorpyrifos  (F),2921-88-2,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
Chlorpyrifos-methyl,Chlorpyrifos-methyl  (R)(F),5598-13-0,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl
Chlorsulfuron,Chlorsulfuron,64902-72-3,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl
Chlorthal-dimethyl,Chlorthal-dimethyl,1861-32-1,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl
Chlorthiamid,Chlorthiamid,1918-13-4,C1=CC(=C(C(=C1)Cl)C(=S)N)Cl
Chlozolinate,Chlozolinate  (F),84332-86-5,CCOC(=O)C1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C
Chromafenozide,Chromafenozide,143807-66-3,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
Cinidon-ethyl,Cinidon-ethyl (sum of cinidon ethyl and its E-isomer),,CCOC(=O)/C(=C/C1=C(C=CC(=C1)N2C(=O)C3=C(C2=O)CCCC3)Cl)/Cl
Clayed charcoal,Clayed charcoal,No CAS allocated,
Clethodim,Clethodim (sum of Sethoxydim and Clethodim including degradation products calculated as Sethoxydim),99129-21-2,CCC(=NOC/C=C/Cl)C1=C(CC(CC1=O)CC(C)SCC)O
"Clodinafop and its S-isomers and their salts, expressed as clodinafop","Clodinafop and its S-isomers and their salts, expressed as clodinafop  (F)",,
Clofentezine,Clofentezine  (R),74115-24-5,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl
