name,xml_name,cas,smiles
Sulfosulfuron,Sulfosulfuron,141776-32-1,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
Sulfoxaflor,Sulfoxaflor (sum of isomers),946578-00-3,CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC#N)(=O)C
Sulfuryl fluoride,Sulfuryl fluoride,2699-79-8,O=S(=O)(F)F
Sulphur,Sulphur,No CAS allocated,S
Sulphuric acid,Sulphuric acid,7664-93-9,OS(=O)(=O)O
"Sum of M4 and M6 (both free and conjugated), expressed as pinoxaden","Sum of M4 and M6 (both free and conjugated), expressed as pinoxaden (R)(A)",,
"Sum of diclofop-methyl, diclofop acid and its salts, expressed as diclofop-methyl","Sum of diclofop-methyl, diclofop acid and its salts, expressed as diclofop-methyl (sum of isomers)",,
"Sum of metobromuron and 4-bromophenylurea, expressed as metobromuron","Sum of metobromuron and 4-bromophenylurea, expressed as metobromuron",,
Sunflower oil,Sunflower oil,No CAS allocated,
TEPP,TEPP,,CCOP(=O)(OCC)OP(=O)(OCC)OCC
Talc E553B,Talc E553B,14807-96-6,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2]
Tebuconazole,Tebuconazole  (R),107534-96-3,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
Tebufenozide,Tebufenozide  (F),112410-23-8,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C
Tebufenpyrad,Tebufenpyrad  (F),119168-77-3,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C
Tecnazene,Tecnazene  (F),117-18-0,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl
Teflubenzuron,Teflubenzuron  (F),Teflubenzuron,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F
Tefluthrin (tefluthrin including other mixtures of constituent isomers (sum of isomers)),Tefluthrin (tefluthrin including other mixtures of constituent isomers (sum of isomers)) (F),,
"Tembotrione (Sum of parent tembotrione (AE 0172747) and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione)","Tembotrione (Sum of parent tembotrione (AE 0172747) and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione) (R)",,
"Tepraloxydim (sum of tepraloxydim and its metabolites that can be hydrolysed either to the moiety 3-(tetrahydro-pyran-4-yl)-glutaric acid or to the moiety 3-hydroxy-(tetrahydro-pyran-4-yl)-glutaric acid, expressed as tepraloxydim)","Tepraloxydim (sum of tepraloxydim and its metabolites that can be hydrolysed either to the moiety 3-(tetrahydro-pyran-4-yl)-glutaric acid or to the moiety 3-hydroxy-(tetrahydro-pyran-4-yl)-glutaric acid, expressed as tepraloxydim)",,
Terbufos,Terbufos,13071-79-9,CCOP(=S)(OCC)SCSC(C)(C)C
Terbuthylazine,Terbuthylazine (R)(F),5915-41-3,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
Terpenoid blend QRD 460,Terpenoid blend QRD 460,,
Tetraconazole,Tetraconazole (sum of constituent isomers) (F),112281-77-3,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F
Tetradifon,Tetradifon,116-29-0,C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl
Thiabendazole,Thiabendazole (R),148-79-8,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Thiacloprid,Thiacloprid,111988-49-9,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl
Thiamethoxam,Thiamethoxam,153719-23-4,CN\1COCN(/C1=N/[N+](=O)[O-])CC2=CN=C(S2)Cl
Thiencarbazone-methyl,Thiencarbazone-methyl,317815-83-1,CC1=C(C(=CS1)C(=O)OC)S(=O)(=O)NC(=O)N2C(=O)N(C(=N2)OC)C
Thifensulfuron-methyl,Thifensulfuron-methyl,79277-27-3,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC
Thiobencarb,Thiobencarb (4-chlorobenzyl methyl sulfone) (A),28249-77-6,CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl
Thiodicarb,Thiodicarb,59669-26-0,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC
Thiophanate-methyl,Thiophanate-methyl  (R),23564-05-8,COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC
Thiram,Thiram (expressed as thiram),137-26-8,CN(C)C(=S)SSC(=S)N(C)C
Thymol,Thymol  (++)(+),89-83-8,CC1=CC(=C(C=C1)C(C)C)O
Tolclofos-methyl,Tolclofos-methyl  (F),57018-04-9,CC1=CC(=C(C(=C1)Cl)OP(=S)(OC)OC)Cl
Tolylfluanid,Tolylfluanid (Sum of tolylfluanid and dimethylaminosulfotoluidide expressed as tolylfluanid) (R)(F),731-27-1,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C
Topramezone,Topramezone (BAS 670H),210631-68-8,CC1=C(C=CC(=C1C2=NOCC2)S(=O)(=O)C)C(=O)C3=CNN(C3=O)C
Tralkoxydim,Tralkoxydim (sum of the constituent isomers of tralkoxydim),87820-88-0,CC/C(=N\OCC)/C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O
Tri-allate,Tri-allate,2303-17-5,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl
Triadimefon,Triadimefon  (F),43121-43-3,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
Triadimenol,Triadimenol (any ratio of constituent isomers),55219-65-3,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O
Triasulfuron,Triasulfuron,82097-50-5,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl
Triazophos,Triazophos  (F),24017-47-8,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2
Triazoxide,Triazoxide,72459-58-6,C1=CC2=C(C=C1Cl)[N+](=NC(=N2)N3C=CN=C3)[O-]
Tribenuron-methyl,Tribenuron-methyl,,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Trichlorfon,Trichlorfon,52-68-6,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
Trichoderma afroharzianum (Formerly Trichoderma harzianum) strain T-22,Trichoderma afroharzianum (Formerly Trichoderma harzianum) strain T-22,,
"Trichoderma asperellum (formerly T. harzianum) strains ICC012, T25 and TV1","Trichoderma asperellum (formerly T. harzianum) strains ICC012, T25 and TV1",,
Trichoderma asperellum,Trichoderma asperellum (strain T34),,
Trichoderma atroviride (formerly T. harzianum) strains IMI 206040 and T11,Trichoderma atroviride (formerly T. harzianum) strains IMI 206040 and T11,,
Trichoderma atroviride strain AGR2,Trichoderma atroviride strain AGR2,,
Trichoderma atroviride strain AT10,Trichoderma atroviride strain AT10,,
Trichoderma atroviride strain I-1237,Trichoderma atroviride strain I-1237,No CAS allocated,
Trichoderma atroviride strain SC1,Trichoderma atroviride strain SC1,No CAS allocated,
Trichoderma gamsii (formerly T. viride) strain ICC080,Trichoderma gamsii (formerly T. viride) strain ICC080,No CAS allocated,
Trichoderma polysporum strain IMI 206039,Trichoderma polysporum strain IMI 206039,No CAS allocated,
Triclopyr,Triclopyr,55335-06-3,C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl
Tricyclazole,Tricyclazole,41814-78-2,CC1=C2C(=CC=C1)SC3=NN=CN23
Tridemorph,Tridemorph  (F),24602-86-6,CCCCCCCCCCCCCN1CC(OC(C1)C)C
Trifloxystrobin,Trifloxystrobin (R)(F),141517-21-7,C/C(=N\OCC1=CC=CC=C1/C(=N\OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F
Triflumezopyrim,Triflumezopyrim,1263133-33-0,C1=CC2=[N+](C(=C(C(=O)N2C=C1)C3=CC(=CC=C3)C(F)(F)F)[O-])CC4=CN=CN=C4
"Triflumizole: Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as Triflumizole","Triflumizole: Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as Triflumizole (R)(F)",,
Triflumuron,Triflumuron  (F),64628-44-0,C1=CC=C(C(=C1)C(=O)NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)Cl
Trifluralin,Trifluralin,1582-09-8,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
"Triflusulfuron (6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine (IN-M7222))","Triflusulfuron (6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine (IN-M7222))",,
Triforine,Triforine,26644-46-2,C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O
"Trimethyl-sulfonium cation, resulting from the use of glyphosate","Trimethyl-sulfonium cation, resulting from the use of glyphosate  (F)",,
Trimethylamine hydrochloride,Trimethylamine hydrochloride  (++),593-81-7,CN(C)C.Cl
"Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)","Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)",,
Triticonazole,Triticonazole,131983-72-7,CC1(CC/C(=C\C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C
Tritosulfuron,Tritosulfuron,142469-14-5,COC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(F)(F)F)C(F)(F)F
Urea,Urea,57-13-6,C(=O)(N)N
Urtica spp.,Urtica spp.,No CAS allocated,
Valifenalate,Valifenalate (R)(A),,CC(C)[C@@H](C(=O)NC(CC(=O)OC)C1=CC=C(C=C1)Cl)NC(=O)OC(C)C
Verticillium albo-atrum isolate WCS850,Verticillium albo-atrum isolate WCS850,,
Vinclozolin,Vinclozolin,50471-44-8,CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C
Vinegar,Vinegar,64-19-7,CC(=O)O
Warfarin,Warfarin,,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
Whey,Whey,No CAS allocated,
"Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate","Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate (F)",,CC/C=C\C/C=C\C/C=C\CCCC/C=C\CCCCCCOC(=O)C(C)C
Z-13-hexadecen-11-yn-1-yl acetate,Z-13-hexadecen-11-yn-1-yl acetate (F),,CC/C=C\C#CCCCCCCCCCCOC(=O)C
Ziram,Ziram,137-30-4,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
Zoxamide,Zoxamide (sum of constituent isomers),156052-68-5,CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl
"Zucchini Yellow Mosaik Virus, weak strain","Zucchini Yellow Mosaik Virus, weak strain",,
Mustard seeds powder,mustard seeds powder,No CAS allocated,
