xml_name,name,cas,matched
Fenazaquin (F),Fenazaquin,120928-09-8,True
Fenbuconazole (sum of constituent enantiomers),Fenbuconazole,114369-43-6,True
Fenbutatin oxide  (F),Fenbutatin oxide,13356-08-6,True
Fenchlorphos (sum of fenchlorphos and fenchlorphos oxon expressed as fenchlorphos),Fenchlorphos,299-84-3,True
Fenhexamid  (F),Fenhexamid,126833-17-8,True
Fenitrothion,Fenitrothion,122-14-5,True
Fenoxaprop-P,Fenoxaprop-P,,False
Fenoxycarb,Fenoxycarb,72490-01-8,True
Fenpicoxamid  (R)(F),Fenpicoxamid,,False
Fenpropathrin,Fenpropathrin,39515-41-8,True
"Fenpropidin (sum of fenpropidin and its salts, expressed as fenpropidin) (R)(A)",Fenpropidin,67306-00-7,True
Fenpropimorph (sum of isomers) (R)(F),Fenpropimorph,67306-03-0,True
Fenpyrazamine  (F),Fenpyrazamine,473798-59-3,True
Fenpyroximate  (R)(F)(A),Fenpyroximate,134098-61-6,True
"Fenthion (fenthion and its oxigen analogue, their sulfoxides and sulfone expressed as parent) (F)",Fenthion,55-38-9,True
"Fentin (fentin including its salts, expressed as triphenyltin cation) (F)",Fentin,,False
"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R)(F)","Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate)",,False
Ferric phosphate (Iron (III) phosphate),Ferric phosphate (Iron (III) phosphate),,False
Ferric pyrophosphate,Ferric pyrophosphate,10058-44-3,True
Ferric sulphate (Iron (III) sulphate) (++),Ferric sulphate (Iron (III) sulphate),,False
Ferrous sulphate (Iron (II) sulphate) (++)(+),Ferrous sulphate (Iron (II) sulphate),,False
Fipronil (sum fipronil + sulfone metabolite (MB46136) expressed as fipronil) (F),Fipronil (sum fipronil + sulfone metabolite (MB46136) expressed as fipronil),,False
Flazasulfuron,Flazasulfuron,104040-78-0,True
"Flonicamid (sum of flonicamid, TFNA and TFNG expressed as flonicamid) (R)",Flonicamid,,False
Florasulam,Florasulam,145701-23-1,True
Florpyrauxifen-benzyl,Florpyrauxifen-benzyl,1390661-72-9,True
"Fluazifop-P (sum of all the constituent isomers of fluazifop, its esters and its conjugates, expressed as fluazifop)",Fluazifop-P,83066-88-0,True
Fluazinam  (F),Fluazinam,79622-59-6,True
Flubendiamide  (F),Flubendiamide,272451-65-7,True
Flucycloxuron  (F),Flucycloxuron,94050-52-9,True
Flucythrinate (flucythrinate including other mixtures of constituent isomers (sum of isomers)) (F),Flucythrinate (flucythrinate including other mixtures of constituent isomers (sum of isomers)),,False
Fludioxonil  (R)(F),Fludioxonil,131341-86-1,True
Flufenacet (sum of all compounds containing the N fluorophenyl-N-isopropyl moiety expressed as flufenacet),Flufenacet,,False
Flufenoxuron  (F),Flufenoxuron,101463-69-8,True
Flufenzin,Flufenzin,,False
Flumequine,Flumequine,42835-25-6,True
Flumetralin  (F),Flumetralin,62924-70-3,True
Flumioxazine,Flumioxazine,,False
Fluometuron,Fluometuron,2164-17-2,True
Fluopicolide,Fluopicolide,239110-15-7,True
Fluopyram  (R),Fluopyram,658066-35-4,True
Fluoride ion,Fluoride ion,,False
Fluoroglycofene,Fluoroglycofene,,False
